NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
3,Hashmap,30,2701835.67300,90061.18910,45030.59455,15002155.90647,168889
4,Sequence,40000,2419163.61900,60.47909,30.23955,529108.48607,4
4,Vector,40,322385.48000,8059.63700,4029.81850,1588160856.37604,1600000
4,Hashmap,40,4485939.60100,112148.49002,56074.24501,12047527.34253,168889
5,Sequence,50000,2893417.29000,57.86835,28.93417,552979.34575,4
5,Vector,50,359502.66400,7190.05328,3595.02664,1780237155.62786,1600000
5,Hashmap,50,5232645.05700,104652.90114,52326.45057,12910411.32431,168889
6,Sequence,60000,3762258.43100,62.70431,31.35215,510331.76886,4
6,Vector,60,509872.38400,8497.87307,4248.93653,1506259260.35641,1600000
6,Hashmap,60,7782566.07500,129709.43458,64854.71729,10416451.23456,168889
7,Sequence,70000,4139622.39300,59.13746,29.56873,541112.15646,4
7,Vector,70,976407.24200,13948.67489,6974.33744,917649891.82659,1600000
7,Hashmap,70,10531414.28800,150448.77554,75224.38777,8980545.00693,168889
8,Sequence,80000,4794625.73300,59.93282,29.96641,533931.14344,4
8,Vector,80,1135793.62100,14197.42026,7098.71013,901572240.82525,1600000
8,Hashmap,80,10782746.49800,134784.33123,67392.16561,10024251.24434,168889
9,Sequence,90000,5390018.07500,59.88909,29.94454,534321.02823,4
9,Vector,90,1437649.42400,15973.88249,7986.94124,801308010.67952,1600000
9,Hashmap,90,12109862.18500,134554.02428,67277.01214,10041409.07158,168889
10,Sequence,100000,6496317.13200,64.96317,32.48159,492586.78956,4
10,Vector,100,1515353.43700,15153.53437,7576.76719,844687429.84083,1600000
10,Hashmap,100,13972884.70700,139728.84707,69864.42354,9669528.00608,168889
1,Sequence,10000,614271.75500,61.42718,30.71359,520942.07066,4
1,Vector,10,62747.90300,6274.79030,3137.39515,2039908807.78916,1600000
1,Hashmap,10,941050.49900,94105.04990,47052.52495,14357486.67511,168889
2,Sequence,20000,1080211.57900,54.01058,27.00529,592476.52260,4
2,Vector,20,91793.57200,4589.67860,2294.83930,2788866305.36613,1600000
2,Hashmap,20,1840185.83900,92009.29195,46004.64598,14684516.87178,168889
3,Sequence,30000,1643468.49200,54.78228,27.39114,584130.45621,4
3,Vector,30,203429.39000,6780.97967,3390.48983,1887632853.83690,1600000
3,Hashmap,30,2939273.67700,97975.78923,48987.89462,13790264.00882,168889
4,Sequence,40000,2261233.67300,56.53084,28.26542,566062.68308,4
4,Vector,40,249832.63200,6245.81580,3122.90790,2049371997.16969,1600000
4,Hashmap,40,4382756.11300,109568.90283,54784.45141,12331162.99574,168889
5,Sequence,50000,2986262.19800,59.72524,29.86262,535786.84453,4
5,Vector,50,417693.63900,8353.87278,4176.93639,1532223477.31276,1600000
5,Hashmap,50,6165632.50100,123312.65002,61656.32501,10956799.64530,168889
6,Sequence,60000,3664376.69300,61.07294,30.53647,523963.59896,4
6,Vector,60,559531.19900,9325.51998,4662.75999,1372577617.42791,1600000
6,Hashmap,60,8385998.39600,139766.63993,69883.31997,9666913.36820,168889
7,Sequence,70000,4216318.99700,60.23313,30.11656,531269.10027,4
7,Vector,70,793961.96700,11342.31381,5671.15691,1128517532.62886,1600000
7,Hashmap,70,10278411.09500,146834.44421,73417.22211,9201601.21305,168889
8,Sequence,80000,4700407.82100,58.75510,29.37755,544633.59298,4
8,Vector,80,1001129.75900,12514.12199,6257.06099,1022844432.29701,1600000
8,Hashmap,80,10874326.84000,135929.08550,67964.54275,9939829.98583,168889
9,Sequence,90000,5378191.98000,59.75769,29.87884,535495.94561,4
9,Vector,90,1358627.46000,15095.86067,7547.93033,847914556.35675,1600000
9,Hashmap,90,13294040.99700,147711.56663,73855.78332,9146961.41132,168889
10,Sequence,100000,6300646.96500,63.00647,31.50323,507884.35184,4
10,Vector,100,1565611.39600,15656.11396,7828.05698,817571974.29087,1600000
10,Hashmap,100,14859138.50500,148591.38505,74295.69253,9092801.70950,168889
1,Sequence,10000,448338.23700,44.83382,22.41691,713746.84020,4
1,Vector,10,47895.91400,4789.59140,2394.79570,2672461788.70289,1600000
1,Hashmap,10,842996.43100,84299.64310,42149.82155,16027493.71545,168889
2,Sequence,20000,1200182.20500,60.00911,30.00456,533252.36563,4
2,Vector,20,117700.38700,5885.01935,2942.50968,2175014088.95113,1600000
2,Hashmap,20,2000108.44500,100005.42225,50002.71113,13510387.43302,168889
3,Sequence,30000,1753604.55700,58.45349,29.22674,547443.83286,4
3,Vector,30,192621.42800,6420.71427,3210.35713,1993547675.28772,1600000
3,Hashmap,30,3041242.25700,101374.74190,50687.37095,13327895.83161,168889
4,Sequence,40000,2342371.46800,58.55929,29.27964,546454.74362,4
4,Vector,40,261083.04500,6527.07613,3263.53806,1961061852.94415,1600000
4,Hashmap,40,4242977.87000,106074.44675,53037.22338,12737393.79649,168889
5,Sequence,50000,2840493.19800,56.80986,28.40493,563282.46134,4
5,Vector,50,413937.56400,8278.75128,4139.37564,1546126893.66844,1600000
5,Hashmap,50,6007225.17500,120144.50350,60072.25175,11245724.61195,168889
6,Sequence,60000,3463425.97600,57.72377,28.86188,554364.38177,4
6,Vector,60,542233.45300,9037.22422,4518.61211,1416364106.18140,1600000
6,Hashmap,60,8411494.02800,140191.56713,70095.78357,9637612.50144,168889
7,Sequence,70000,4224095.26000,60.34422,30.17211,530291.07113,4
7,Vector,70,642676.60500,9181.09436,4590.54718,1394169311.64003,1600000
7,Hashmap,70,9435887.47500,134798.39250,67399.19625,10023205.58088,168889
8,Sequence,80000,5032121.93400,62.90152,31.45076,508731.71071,4
8,Vector,80,808737.97200,10109.22465,5054.61233,1266170299.22270,1600000
8,Hashmap,80,11557664.07700,144470.80096,72235.40048,9352145.83846,168889
9,Sequence,90000,5522642.90900,61.36270,30.68135,521489.44762,4
9,Vector,90,955834.02500,10620.37806,5310.18903,1205230165.35219,1600000
9,Hashmap,90,12735412.64400,141504.58493,70752.29247,9548185.31595,168889
10,Sequence,100000,6162405.24200,61.62405,30.81203,519277.76158,4
10,Vector,100,1576732.00100,15767.32001,7883.66001,811805683.64706,1600000
10,Hashmap,100,15119512.64300,151195.12643,75597.56322,8936213.96339,168889
1,Sequence,10000,475580.58800,47.55806,23.77903,672861.77795,4
1,Vector,10,56889.07500,5688.90750,2844.45375,2249992639.18424,1600000
1,Hashmap,10,1010838.29200,101083.82920,50541.91460,13366252.65082,168889
2,Sequence,20000,1134665.60200,56.73328,28.36664,564042.83242,4
2,Vector,20,115284.13700,5764.20685,2882.10343,2220600393.61703,1600000
2,Hashmap,20,1897908.96300,94895.44815,47447.72408,14237901.04099,168889
3,Sequence,30000,1624181.18100,54.13937,27.06969,591067.06273,4
3,Vector,30,196761.24600,6558.70820,3279.35410,1951603823.44804,1600000
3,Hashmap,30,2997059.79900,99901.99330,49950.99665,13524374.79343,168889
4,Sequence,40000,2428396.64200,60.70992,30.35496,527096.75918,4
4,Vector,40,361223.27800,9030.58195,4515.29098,1417405884.89981,1600000
4,Hashmap,40,4699701.68100,117492.54203,58746.27101,11499555.43317,168889
5,Sequence,50000,2932443.67200,58.64887,29.32444,545620.02854,4
5,Vector,50,416131.17800,8322.62356,4161.31178,1537976565.64921,1600000
5,Hashmap,50,6432594.86100,128651.89722,64325.94861,10502075.98330,168889
6,Sequence,60000,3458756.47000,57.64594,28.82297,555112.80330,4
6,Vector,60,501110.28700,8351.83812,4175.91906,1532596755.49227,1600000
6,Hashmap,60,8595270.51900,143254.50865,71627.25433,9431549.57378,168889
7,Sequence,70000,4498031.48800,64.25759,32.12880,497995.62453,4
7,Vector,70,831390.07800,11877.00111,5938.50056,1077713126.13620,1600000
7,Hashmap,70,10360991.88700,148014.16981,74007.08491,9128261.17726,168889
8,Sequence,80000,5036788.79100,62.95986,31.47993,508260.34329,4
8,Vector,80,1101941.26200,13774.26578,6887.13289,929269131.95125,1600000
8,Hashmap,80,12053427.63400,150667.84543,75333.92271,8967487.36394,168889
9,Sequence,90000,5401139.43600,60.01266,30.00633,533220.82019,4
9,Vector,90,1314245.25800,14602.72509,7301.36254,876548721.01505,1600000
9,Hashmap,90,12340899.46200,137121.10513,68560.55257,9853421.16873,168889
10,Sequence,100000,6209863.14700,62.09863,31.04932,515309.26274,4
10,Vector,100,1267419.37400,12674.19374,6337.09687,1009926174.60178,1600000
10,Hashmap,100,14341371.88000,143413.71880,71706.85940,9421079.17782,168889
