NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
4,Vector,40,321600.24800,8040.00620,4020.00310,1592038573.30359,1600000
4,Hashmap,40,4858765.67200,121469.14180,60734.57090,22246176.76520,337778
5,Sequence,500000,22464946.35200,44.92989,22.46495,712220.70818,4
5,Vector,50,438464.52600,8769.29052,4384.64526,1459639177.28660,1600000
5,Hashmap,50,6956951.89500,139139.03790,69569.51895,19421034.10218,337778
6,Sequence,600000,26736829.16600,44.56138,22.28069,718110.58375,4
6,Vector,60,548051.65700,9134.19428,4567.09714,1401327758.41603,1600000
6,Hashmap,60,8617457.62400,143624.29373,71812.14687,18814532.90219,337778
7,Sequence,700000,31123986.96200,44.46284,22.23142,719702.13930,4
7,Vector,70,929876.57500,13283.95107,6641.97554,963568740.29223,1600000
7,Hashmap,70,10510134.10400,150144.77291,75072.38646,17997456.37194,337778
8,Sequence,800000,36931998.79300,46.16500,23.08250,693165.84091,4
8,Vector,80,977915.99100,12223.94989,6111.97494,1047124711.55408,1600000
8,Hashmap,80,10116476.57700,126455.95721,63227.97861,21368894.43223,337778
9,Sequence,900000,39700128.47000,44.11125,22.05563,725438.45851,4
9,Vector,90,1064607.51600,11828.97240,5914.48620,1082088922.61850,1600000
9,Hashmap,90,10762663.14600,119585.14607,59792.57303,22596652.58504,337778
10,Sequence,1000000,45036879.85000,45.03688,22.51844,710528.79566,4
10,Vector,100,1694884.99800,16948.84998,8474.42499,755213481.45180,1600000
10,Hashmap,100,12383250.70600,123832.50706,61916.25353,21821604.55405,337778
1,Sequence,100000,4425872.13800,44.25872,22.12936,723021.33912,4
1,Vector,10,58582.00600,5858.20060,2929.10030,2184971269.16412,1600000
1,Hashmap,10,971289.19800,97128.91980,48564.45990,27821003.31770,337778
2,Sequence,200000,8128097.53000,40.64049,20.32024,787392.12668,4
2,Vector,20,125505.49000,6275.27450,3137.63725,2039751408.48420,1600000
2,Hashmap,20,1804660.87900,90233.04395,45116.52197,29947166.60005,337778
3,Sequence,300000,12379767.24800,41.26589,20.63295,775458.84407,4
3,Vector,30,185584.66400,6186.15547,3093.07773,2069136488.56244,1600000
3,Hashmap,30,3010354.55600,100345.15187,50172.57593,26929293.04238,337778
4,Sequence,400000,16781214.24900,41.95304,20.97652,762757.67713,4
4,Vector,40,274905.36000,6872.63400,3436.31700,1862459138.66503,1600000
4,Hashmap,40,4613478.29800,115336.95745,57668.47873,23428951.65387,337778
5,Sequence,500000,22266723.10400,44.53345,22.26672,718561.05298,4
5,Vector,50,420485.19300,8409.70386,4204.85193,1522051217.62754,1600000
5,Hashmap,50,6177294.21500,123545.88430,61772.94215,21872230.02458,337778
6,Sequence,600000,25888326.38700,43.14721,21.57361,741647.01545,4
6,Vector,60,605486.53100,10091.44218,5045.72109,1268401460.11440,1600000
6,Hashmap,60,7415604.28600,123593.40477,61796.70238,21863820.36405,337778
7,Sequence,700000,30885122.65500,44.12160,22.06080,725268.28694,4
7,Vector,70,876007.25100,12514.38930,6257.19465,1022822583.91946,1600000
7,Hashmap,70,9988959.98800,142699.42840,71349.71420,18936473.88990,337778
8,Sequence,800000,34747819.84900,43.43477,21.71739,736736.86900,4
8,Vector,80,828032.74800,10350.40935,5175.20468,1236666064.80641,1600000
8,Hashmap,80,10579911.89700,132248.89871,66124.44936,20432865.80310,337778
9,Sequence,900000,41888315.09500,46.54257,23.27129,687542.57446,4
9,Vector,90,1194196.60800,13268.85120,6634.42560,964665275.61934,1600000
9,Hashmap,90,11367452.22400,126305.02471,63152.51236,21394429.92217,337778
10,Sequence,1000000,47011425.78600,47.01143,23.50571,680685.58792,4
10,Vector,100,1617377.42600,16173.77426,8086.88713,791404640.26731,1600000
10,Hashmap,100,12230529.71200,122305.29712,61152.64856,22094088.02097,337778
