NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
9,Sequence,900000,101641524.29500,112.93503,56.46751,283348.76124,4
9,Vector,90,9403814.97000,104486.83300,52243.41650,122503473.71520,1600000
9,Hashmap,90,15705277.03300,174503.07814,87251.53907,15485251.19862,337778
10,Sequence,1000000,121486838.60200,121.48684,60.74342,263403.01853,4
10,Vector,100,11566214.20700,115662.14207,57831.07104,110667153.23544,1600000
10,Hashmap,100,19567044.93200,195670.44932,97835.22466,13810077.14446,337778
1,Sequence,100000,9895854.88200,98.95855,49.47927,323367.71690,4
1,Vector,10,143939.44100,14393.94410,7196.97205,889262867.15258,1600000
1,Hashmap,10,822149.80200,82214.98020,41107.49010,32867781.43626,337778
2,Sequence,200000,20354545.87400,101.77273,50.88636,314426.07659,4
2,Vector,20,494138.03300,24706.90165,12353.45083,518073863.78615,1600000
2,Hashmap,20,1839036.03400,91951.80170,45975.90085,29387395.89700,337778
3,Sequence,300000,31696919.63100,105.65640,52.82820,302868.54722,4
3,Vector,30,1163580.83500,38786.02783,19393.01392,330015748.32573,1600000
3,Hashmap,30,2688452.41900,89615.08063,44807.54032,30153674.81570,337778
4,Sequence,400000,45165916.10100,112.91479,56.45740,283399.54339,4
4,Vector,40,1965247.45200,49131.18630,24565.59315,260526988.33368,1600000
4,Hashmap,40,4083758.92300,102093.97308,51046.98654,26468007.05870,337778
5,Sequence,500000,53007209.68200,106.01442,53.00721,301845.73185,4
5,Vector,50,3025888.15400,60517.76308,30258.88154,211508148.16270,1600000
5,Hashmap,50,5308949.36800,106178.98736,53089.49368,25449705.88991,337778
6,Sequence,600000,67859940.38600,113.09990,56.54995,282935.70390,4
6,Vector,60,4469445.61900,74490.76032,37245.38016,171833391.76008,1600000
6,Hashmap,60,8742834.00000,145713.90000,72856.95000,18544723.59878,337778
7,Sequence,700000,84282722.38800,120.40389,60.20194,265772.14600,4
7,Vector,70,5872232.05700,83889.02939,41944.51469,152582525.91226,1600000
7,Hashmap,70,10149041.48000,144986.30686,72493.15343,18637787.65441,337778
8,Sequence,800000,97497998.00400,121.87250,60.93625,262569.49398,4
8,Vector,80,7617998.33800,95224.97923,47612.48961,134418511.86710,1600000
8,Hashmap,80,12475709.25300,155946.36566,77973.18283,17327906.22289,337778
9,Sequence,900000,108195885.03800,120.21765,60.10883,266183.87557,4
9,Vector,90,9967581.25800,110750.90287,55375.45143,115574678.56862,1600000
9,Hashmap,90,15497506.58500,172194.51761,86097.25881,15692857.34232,337778
10,Sequence,1000000,117609090.00800,117.60909,58.80455,272087.81224,4
10,Vector,100,12254130.97000,122541.30970,61270.65485,104454571.53458,1600000
10,Hashmap,100,18793989.64000,187939.89640,93969.94820,14378128.60261,337778
